Number of Rows (Aggregated),CGM_Client,Ad set name,Ad name,Month,Year,Platform,Placement,Device platform,Reach,Impressions,Cost per result,Amount spent (USD),CPC (cost per link click),Link clicks,Clicks (all),CPC (all),"CPM (cost per 1,000 impressions)",CTR (all),Frequency
21,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,marketplace,desktop,94,104,,2.99,0.09,1,1,0.09,1008.45,33.33,23.95
23,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,audience_network,rewarded_video,desktop,245,388,,13.53,3.48,11,11,3.48,674.12,55.37,34.19
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,instream_video,desktop,116,118,,3.43,0.09,1,1,0.09,778.29,100,25.35
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,video_feeds,mobile_app,8127,8707,54.64778642,274.68,77.25,113,202,41.22,831.24,59.1,27.96
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,audience_network,an_classic,mobile_app,8147,13742,381.3844422,724.69,70.39,316,315,70.75,1507.46,100.32,43.05
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,instream_video,mobile_app,4843,5159,52.63581984,241.69,55.98,144,154,54.52,1239.79,85.78,27.7
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,instant_article,mobile_app,674,781,1.335,25.19,10.52,10,22,14.02,848.62,63.46,30.26
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,feed,desktop,5030,5501,73.10070421,303.17,85.23,96,130,77.26,1469.3,60.85,28.55
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,audience_network,rewarded_video,mobile_app,2703,4007,79.495,257.19,61.07,112,111,61.27,1622.61,69.68,38.98
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,facebook_stories,mobile_app,1309,1314,14.6,83.2,49.7,24,27,44.25,1667.59,49.99,26.11
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,instagram,instagram_stories,mobile_app,1022,1033,3.43004874,64.87,28.83,20,21,28.07,1614.12,54.22,26.24
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,feed,mobile_web,1021,1153,12.39904888,82.69,23.07,20,39,44.32,1906.68,91.24,29.32
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,instagram,instagram_explore,mobile_app,271,272,,5.35,1.14,4,4,1.14,500.74,26.18,26.05
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,instagram,feed,mobile_app,5382,5449,81.10018912,293.01,133.69,80,92,117.22,1389.94,42.85,26.3
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,marketplace,mobile_app,1179,1405,5.83,51.98,20.8,24,24,23.26,943.84,42.22,31.11
26,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,4,2021,facebook,feed,mobile_app,43270,48450,1389.966341,3339.25,69.6,1296,1888,47.65,1812.77,101.23,29.08
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,search,mobile_app,2,2,,0.01,,,0,,10,0,2
9,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,messenger,messenger_stories,mobile_app,14,14,,3.04,,,0,,1585,0,9
17,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,marketplace,desktop,25,27,,0.43,0,1,1,0,330.2,33.33,18.5
20,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,instream_video,desktop,44,44,,2.23,0.1,1,1,0.1,815,50,20
20,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,instagram,instagram_explore,mobile_app,50,51,,1.43,,,0,,591.95,0,21
24,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,audience_network,an_classic,desktop,374,672,,18.38,6.36,8,8,6.36,583.07,12.14,38.17
24,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,audience_network,rewarded_video,mobile_app,7698,10873,,603.68,73.4,234,231,74.22,1412.44,52.27,33.22
24,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,audience_network,an_classic,mobile_app,18425,28717,,1376.65,55.76,566,564,55.92,1178.61,50.31,37.56
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,video_feeds,mobile_app,2446,2575,,100.71,60.33,39,62,48.33,979.54,61.12,26.22
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,feed,mobile_app,30443,33560,,2508.64,72.16,904,1355,47.1,1879.47,102.41,27.48
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,audience_network,rewarded_video,desktop,813,1615,,43.05,21.42,21,21,21.42,688.2,36.62,45.3
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,marketplace,mobile_app,291,353,,10.66,0.75,2,3,1,739.32,25.47,30.43
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,instagram,feed,mobile_app,2006,2015,,97.43,56.52,24,26,57.52,1214.21,35.51,25.09
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,feed,desktop,5636,6104,,365.54,99.15,113,146,75.74,1536.52,60.57,27.1
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,instream_video,mobile_app,1906,1976,,80.32,36.7,36,38,39.36,1060.62,48.86,25.91
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,facebook_stories,mobile_app,642,642,,33.55,9.03,6,6,9.03,1312.17,20.43,25
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,instagram,instagram_stories,mobile_app,253,254,,13.79,1.49,2,2,1.49,1401.88,29.17,25.08
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,feed,mobile_web,889,1038,,75.04,48.4,18,40,37.84,1767.08,85.97,29.14
25,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,5,2021,facebook,instant_article,mobile_app,186,226,,6.15,1.24,2,2,1.24,653.89,14.09,30.83
1,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,search,mobile_app,1,1,,0,,,0,,0,0,1
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,marketplace,desktop,9,9,,0.1,,,0,,23.5,0,2
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,rewarded_video,mobile_app,596,806,,40.63,9.93,8,8,9.93,100.49,2.04,2.69
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,marketplace,mobile_app,23,29,,1.27,,,0,,86.79,0,2.4
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instream_video,mobile_app,148,155,,6.15,2.85,1,1,2.85,80.41,1.19,2.1
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,messenger,messenger_stories,mobile_app,2,2,,0.12,0.1,1,1,0.1,120,100,2
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instant_article,mobile_app,13,14,,0.16,,,0,,25,0,2.11
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,desktop,703,732,,50.32,7.18,14,17,5.91,137.18,4.65,2.08
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,instream_video,desktop,3,3,,0.04,,,0,,30,0,2
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,feed,mobile_app,220,220,,6.61,6.61,2,2,6.61,60.01,1.82,2
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,video_feeds,mobile_app,198,204,,7.85,5.37,4,5,5.06,77.46,4.74,2.06
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,facebook_stories,mobile_app,33,33,,2.32,,,0,,122.73,0,2
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,an_classic,mobile_app,1386,2137,,90.76,5.75,32,32,5.75,84.11,2.93,3.06
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,mobile_web,75,83,,5.09,,,1,2.26,122.83,2.38,2.22
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,rewarded_video,desktop,61,148,,4.47,2.04,2,2,2.04,50.09,2.08,4.76
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,audience_network,an_classic,desktop,43,60,,1.07,,,0,,36.9,0,2.68
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,instagram_explore,mobile_app,8,8,,0.05,,,0,,15,0,2
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,facebook,feed,mobile_app,2751,2975,,211.07,5.96,70,98,4.22,140.27,6.81,2.17
2,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,instagram,instagram_stories,mobile_app,22,23,,1.14,,,0,,100.08,0,2.1
3,CGM_JESSUP,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,6,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
3,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,search,mobile_app,3,3,,0.05,,,0,,50,0,3
24,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instream_video,desktop,47,48,,1.08,0.03,1,1,0.03,505.01,50,25
25,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,messenger,messenger_stories,mobile_app,65,66,,8.34,1,1,1,1,3086.82,33.33,25.2
31,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_explore,mobile_app,61,61,,0.88,,,0,,486.68,0,31
39,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,an_classic,desktop,446,652,,10.66,2.36,6,6,2.36,582.61,38.52,55.79
43,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,instagram_stories,mobile_app,232,232,,15.03,1.64,4,5,1.51,2717.53,81.02,43
44,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instant_article,mobile_app,270,305,,11.32,0.5,3,8,1.57,1791.13,103.49,50.81
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,desktop,272,464,,21.42,6.9,6,6,6.9,2181.27,45.7,74.19
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,facebook_stories,mobile_app,750,753,,61.31,22.72,16,18,22.58,3402.44,72.49,46.12
52,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,rewarded_video,mobile_app,1892,2329,,117.19,51.07,50,50,51.07,2556.3,142.89,62.39
54,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,instream_video,mobile_app,783,818,,49.18,16.27,21,21,16.27,3142.14,128.34,55.99
54,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
54,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,marketplace,desktop,691,815,,8.42,1.2,5,5,1.2,505.82,22.36,61.5
55,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,marketplace,mobile_app,2383,2666,,135.3,62,39,41,60.27,2657.85,57.08,60.16
56,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_web,1304,1430,,96.7,26.52,12,54,44.67,3961.27,156.61,59.4
56,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,audience_network,an_classic,mobile_app,7344,9862,,348.33,94.24,135,133,94.84,1903.69,71.05,76.86
56,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,instagram,feed,mobile_app,3190,3213,,139.22,52.09,28,36,80.13,2396.38,57.52,56.3
56,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,mobile_app,39236,43392,,3690.97,207.18,1176,1885,116.49,5217.27,267.42,60.36
56,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,feed,desktop,8617,9367,,680.6,236.3,126,199,151.45,4420.9,122.04,59.64
56,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,8,2021,facebook,video_feeds,mobile_app,5413,5706,,240.69,86.21,104,188,52.72,2211.23,156.21,58.61
2,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,instagram,feed,mobile_app,33,33,,1.49,,,0,,88.18,0,2
2,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,instagram,instagram_stories,mobile_app,5,5,,0.37,,,0,,145,0,2
4,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,messenger,messenger_stories,mobile_app,5,5,,0.24,0.04,1,1,0.04,204.97,100,4
5,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,search,mobile_app,5,5,,0.07,0.01,1,1,0.01,70,100,5
17,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,instream_video,desktop,23,24,,0.49,,,0,,348.3,0,18
33,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,rewarded_video,desktop,150,206,,10.25,2.02,5,5,2.02,1590.58,31.85,46.73
36,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,facebook_stories,mobile_app,477,501,,49.38,19.92,9,9,19.92,4176.6,58.63,37.3
39,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,an_classic,desktop,297,526,,10.95,2.99,7,7,2.99,909.93,61.68,64.83
44,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,instant_article,mobile_app,468,539,,33.58,12.98,16,24,17.68,3358.33,262.31,49.73
45,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,rewarded_video,mobile_app,1738,2171,,173.75,75.08,53,53,75.08,4182.46,115.76,55.76
45,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,instream_video,mobile_app,434,443,,25.95,8.99,20,21,9.4,2504.59,271.35,45.72
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,feed,desktop,4627,5147,,414.49,150.67,81,119,126.43,4740.44,139.04,49.95
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,audience_network,an_classic,mobile_app,7092,9877,,585,194.23,153,152,194.44,2904.39,88.01,64.19
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,feed,mobile_app,27629,30536,,2703.48,199.34,706,1076,122.83,4773.39,188.6,49.64
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,video_feeds,mobile_app,6918,7217,,300.07,73.52,135,191,54.06,1888.16,124.62,47.76
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,marketplace,desktop,556,995,,14.22,1.62,7,7,1.62,537.83,24.59,81.85
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,marketplace,mobile_app,997,1133,,66.99,30.93,20,18,34.21,2985.71,91.8,50.32
46,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,9,2021,facebook,feed,mobile_web,1223,1381,,113.23,38.13,27,69,51.55,3912.95,279.76,50.75
1,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,search,mobile_app,1,1,,0.13,,,0,,130,0,1
5,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,instagram,instagram_explore,mobile_app,17,18,,0.38,,,0,,75.77,0,5.13
5,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,instagram,instagram_reels,mobile_app,12,12,,0.16,,,0,,59.5,0,5
6,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,search,mobile_app,6,6,,0.05,,,0,,50,0,6
6,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instant_article,mobile_app,76,87,,1.81,0.24,3,5,0.14,125.81,15.15,6.41
7,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,desktop,102,143,,1.98,0.71,1,1,0.71,85.95,2.5,9.56
7,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_web,95,103,,3.38,,,2,2.04,370.47,6.43,7.29
7,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,mobile_app,123,132,,5.71,3.12,4,5,1.96,249.51,32.86,7.25
7,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,desktop,28,33,,1.06,,,0,,231.18,0,8
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,video_feeds,mobile_app,811,836,,20.28,4.64,16,27,4.48,168.41,26.04,8.22
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,instagram,feed,mobile_app,674,687,,46.74,23.07,12,12,23.07,565.26,14.96,8.09
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,mobile_app,984,1322,,47.42,19.63,15,15,19.63,309.8,8.08,10.64
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,instagram,instagram_stories,mobile_app,84,85,,4.44,3.04,2,2,3.04,351.08,9.8,8.03
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,desktop,1177,1295,,70.94,14.08,16,26,13.2,457.76,22.1,8.83
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,mobile_app,399,502,,22.51,6.89,4,4,6.89,339.09,2.82,9.58
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_app,1849,2043,,106.92,16.77,46,86,9.48,494.34,47.81,8.58
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,facebook_stories,mobile_app,105,106,,4.91,,,0,,351.87,0,8.14
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,desktop,56,69,,0.57,0.22,1,1,0.22,58.39,12.5,9.38
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
8,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instream_video,mobile_app,73,77,,1.79,0.55,4,4,0.55,195.74,63.33,8.4
18,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instream_video,desktop,25,25,,0.77,0.02,1,1,0.02,586.98,100,18
30,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,desktop,90,139,,10.19,,,0,,2876.7,0,44.53
32,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,facebook_stories,mobile_app,296,305,,28.11,11.63,6,6,11.63,3160.22,52.21,33.27
34,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,desktop,326,485,,25.61,5.72,4,4,5.72,1537.19,9.2,45.16
36,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instream_video,mobile_app,318,323,,17.87,3.1,12,12,3.1,1708.12,210.81,36.43
36,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,instant_article,mobile_app,254,285,,10.01,2.58,7,9,2.48,1291.35,101.44,40.2
36,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_web,746,806,,64.75,23.71,10,27,20.82,2263.22,159.26,38.29
37,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,mobile_app,588,632,,42.17,13.87,10,12,13.9,2723.18,72.71,39.59
37,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,unknown,unknown,unknown,0,0,,0,,,0,,,,0
38,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,marketplace,desktop,488,582,,9.67,0.61,2,2,0.61,582.72,10,44.96
38,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,an_classic,mobile_app,5998,8402,,467.02,160.92,127,125,161.52,2219.25,55.21,52.9
38,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,desktop,3897,4132,,355.41,109.43,74,104,85.48,3968.69,139.35,39.81
38,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,audience_network,rewarded_video,mobile_app,1819,2375,,202.25,67.46,35,35,67.46,3423.68,51.64,48.39
38,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,feed,mobile_app,13239,14356,,1274,148.31,338,524,115.46,3848.72,129.66,40.45
38,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,10,2021,facebook,video_feeds,mobile_app,3263,3372,,124.14,43.85,55,87,44.14,1487.09,82.28,39
1,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,search,desktop,1,1,,0.01,,,0,,10,0,1
6,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,desktop,11,11,,0.45,,,0,,250,0,6
7,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,desktop,7,7,,0.23,,,0,,230,0,7
9,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,instream_video,desktop,9,9,,0.38,,,0,,379.96,0,9
9,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,instagram_explore,mobile_app,11,11,,0.18,,,0,,153.33,0,9
15,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,instagram_stories,mobile_app,39,39,,4.19,,,0,,1943.5,0,15
17,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,rewarded_video,desktop,38,48,,2.75,,,0,,880.93,0,20.58
20,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,desktop,47,56,,5.88,,,0,,3645.76,0,22.81
22,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,instagram_explore,mobile_app,44,45,,0.8,,,0,,379.96,0,22.5
24,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,audience_network,an_classic,desktop,145,201,,4.25,0.33,1,1,0.33,501.33,7.69,30.37
24,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,feed,mobile_app,535,538,,53.79,9.28,9,9,9.28,2388.81,35.94,24.06
25,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,instagram_reels,mobile_app,56,56,,3.93,,,0,,2727.14,0,25
27,CGM_PLATINUM_VENTURE,Dexcom l | Mid form Pixel,CGM Video Ad- Senior,11,2021,facebook,marketplace,desktop,168,199,,3.82,,,0,,403.52,0,32.87
27,CGM_PLATINUM_VENTURE,Diabetic diet l | Mid form Pixel,CGM Video Ad- Senior,11,2021,instagram,instagram_stories,mobile_app,155,156,,10.31,1.92,4,4,1.92,2097.32,45,28
